"Basic Fees Structure - Tier 1 - (chullikal , fortkochi, eraveli, palluruthi) Branch",,,,,,,,
Class,Annual Fees,Early Bird,One Time Payment,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
8 State,17000,15400,14100,14600,5100,3600,3600,2300
9 State,19750,17800,16300,16900,5900,4200,4200,2600
10 State,19750,17800,16300,16900,5900,4200,4200,2600
Plus One,21000,19000,17400,18000,6300,4500,4500,2700
Plus Two,21000,19000,17400,18000,6300,4500,4500,2700
,,,,,,,,
"Basic Fees Structure - Tier 1 (chullikal , fortkochi, eraveli, palluruthi)Branch",,,,,,,,
Class,Annual Fees,"Early Bird
(₹)",6 Inst Plan            Full Amnt              (After Disc 2.5%),Inst Amount           (1st - 5th),Inst Amount      6th (Final) ,8 Inst Plan            Full Amnt             ,Inst Amount           (1st - 7th),Inst Amount      8th (Final) 
8 State,17000,"15,400","15,000","2,600","2,000","15,400","2,000","1,400"
9 State,19750,"17,800","17,300","3,000","2,300","17,800","2,400","1,000"
10 State,19750,"17,800","17,300","3,000","2,300","17,800","2,400","1,000"
Plus One,21000,"19,000","18,500","3,200","2,500","19,000","2,500","1,500"
Plus Two,21000,"19,000","18,500","3,200","2,500","19,000","2,500","1,500"
,,,,,,,,
,,,,,,,,
"Intrmediate Fees Structure - Tier 1(chullikal , fortkochi, eraveli, palluruthi) Branch",,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
8 State,25750,23000,21100,21900,7700,5500,5500,3200
9 State,25750,23000,21100,21900,7700,5500,5500,3200
10 State,25750,23000,21100,21900,7700,5500,5500,3200
Plus One,32500,29000,26600,27600,9700,6900,6900,4100
Plus Two,32500,29000,26600,27600,9700,6900,6900,4100
,,,,,,,,
"Intrmediate Fees Structure - Tier 1 (chullikal , fortkochi, eraveli, palluruthi)Branch",,,,,,,,
Class,Annual Fees,"Early Bird
(₹)","6-Inst Plan
Discounted Amt
(EB×97.5%)","INSTALLMENT AMOUNT ( 1-5)
Inst 1
(₹)",LAST INSTALLMENT,"8-Inst Plan
Full EB Amt
(₹)","INSTALLMENT AMOUNT ( 1-7)
Inst 1
(₹)","LAST INSTALLMENT
Inst 1
(₹)"
8 State,25750,"23,000","22,400","4,000","2,400","23,000","3,000","2,000"
9 State,25750,"23,000","22,400","4,000","2,400","23,000","3,000","2,000"
10 State,25750,"23,000","22,400","4,000","2,400","23,000","3,000","2,000"
Plus One,32500,"29,000","28,300","5,000","3,300","29,000","3,700","3,100"
Plus Two,32500,"29,000","28,300","5,000","3,300","29,000","3,700","3,100"
,,,,,,,,
"Advanced Fees Structure - Tier 1 (chullikal , fortkochi, eraveli, palluruthi)Branch",,,,,,,,
Class,Annual Fees,Early Bird,OTP,Quarterly       (5% Disc),Quarter 1,Quarter 2,Quarter 3,Quarter 4
8 State,27750,25000,22900,23700,8300,5900,5900,3600
9 State,27750,25000,22900,23700,8300,5900,5900,3600
10 State,27750,25000,22900,23700,8300,5900,5900,3600
Plus One,34500,31000,28400,29400,10300,7300,7300,4500
Plus Two,34500,31000,28400,29400,10300,7300,7300,4500
,,,,,,,,
"Advanced Fees Structure - Tier 1 (chullikal , fortkochi, eraveli, palluruthi)Branch",,,,,,,,
